Time,Open,High,Low,Close,Volume,Complete
2018-06-03 21:00:00+00:00,1.16591,1.17446,1.16591,1.16986,54201,True
2018-06-04 21:00:00+00:00,1.16969,1.17324,1.16525,1.17184,60668,True
2018-06-05 21:00:00+00:00,1.17129,1.17959,1.17124,1.17744,57923,True
2018-06-06 21:00:00+00:00,1.17752,1.18399,1.17727,1.1799,62212,True
2018-06-07 21:00:00+00:00,1.18014,1.18104,1.1727,1.1769,57780,True
2018-06-10 21:00:00+00:00,1.17752,1.18204,1.1771,1.17845,43072,True
2018-06-11 21:00:00+00:00,1.17825,1.18089,1.17332,1.17436,56915,True
2018-06-12 21:00:00+00:00,1.17462,1.18011,1.17254,1.1793,63126,True
2018-06-13 21:00:00+00:00,1.17916,1.18518,1.15627,1.15677,89311,True
2018-06-14 21:00:00+00:00,1.15691,1.16272,1.15431,1.16089,69625,True
2018-06-17 21:00:00+00:00,1.15884,1.16246,1.15654,1.16232,43908,True
2018-06-18 21:00:00+00:00,1.16232,1.16446,1.1531,1.15916,75009,True
2018-06-19 21:00:00+00:00,1.15896,1.16003,1.15356,1.15761,60759,True
2018-06-20 21:00:00+00:00,1.1573,1.16338,1.1508,1.16028,84865,True
2018-06-21 21:00:00+00:00,1.16035,1.16754,1.16004,1.16574,76671,True
2018-06-24 21:00:00+00:00,1.16647,1.17134,1.16284,1.17037,65830,True
2018-06-25 21:00:00+00:00,1.17042,1.17212,1.16348,1.16465,71193,True
2018-06-26 21:00:00+00:00,1.16457,1.1672,1.15403,1.15542,75596,True
2018-06-27 21:00:00+00:00,1.15534,1.1601,1.15272,1.1569,80665,True
2018-06-28 21:00:00+00:00,1.15664,1.16904,1.15584,1.16847,99816,True
2018-07-01 21:00:00+00:00,1.16803,1.16918,1.15914,1.16392,56859,True
2018-07-02 21:00:00+00:00,1.16392,1.1673,1.16205,1.1659,50716,True
2018-07-03 21:00:00+00:00,1.1657,1.16818,1.16304,1.1656,47730,True
2018-07-04 21:00:00+00:00,1.16567,1.17202,1.165,1.16918,56477,True
2018-07-05 21:00:00+00:00,1.16899,1.17684,1.16798,1.17457,53246,True
2018-07-08 21:00:00+00:00,1.17444,1.17908,1.17326,1.17509,48280,True
2018-07-09 21:00:00+00:00,1.17557,1.17628,1.16904,1.17444,44005,True
2018-07-10 21:00:00+00:00,1.17427,1.17588,1.16656,1.16743,66462,True
2018-07-11 21:00:00+00:00,1.16729,1.16962,1.16496,1.16719,56354,True
2018-07-12 21:00:00+00:00,1.16707,1.16873,1.16128,1.16858,51209,True
2018-07-15 21:00:00+00:00,1.16908,1.17256,1.16758,1.17112,44882,True
2018-07-16 21:00:00+00:00,1.17096,1.17448,1.16494,1.16618,52923,True
2018-07-17 21:00:00+00:00,1.16599,1.16652,1.16018,1.16392,52562,True
2018-07-18 21:00:00+00:00,1.16386,1.16789,1.15748,1.16418,80187,True
2018-07-19 21:00:00+00:00,1.16453,1.17386,1.16264,1.17227,88988,True
2018-07-22 21:00:00+00:00,1.17266,1.17514,1.16836,1.1691,50640,True
2018-07-23 21:00:00+00:00,1.16906,1.17168,1.16546,1.16831,56073,True
2018-07-24 21:00:00+00:00,1.16814,1.17388,1.16642,1.17297,60380,True
2018-07-25 21:00:00+00:00,1.17327,1.17438,1.16403,1.16416,60116,True
2018-07-26 21:00:00+00:00,1.16416,1.16644,1.16204,1.16568,45995,True
2018-07-29 21:00:00+00:00,1.1657,1.17188,1.16484,1.17053,32520,True
2018-07-30 21:00:00+00:00,1.17059,1.17462,1.16844,1.16908,48742,True
2018-07-31 21:00:00+00:00,1.1693,1.16996,1.16574,1.16592,46203,True
2018-08-01 21:00:00+00:00,1.16588,1.16676,1.15816,1.15844,43238,True
2018-08-02 21:00:00+00:00,1.15872,1.16109,1.15596,1.15674,51501,True
2018-08-05 21:00:00+00:00,1.15688,1.1572,1.15298,1.15527,31761,True
2018-08-06 21:00:00+00:00,1.15536,1.16084,1.155,1.15982,34180,True
2018-08-07 21:00:00+00:00,1.15992,1.1628,1.15732,1.16104,33812,True
2018-08-08 21:00:00+00:00,1.16106,1.16192,1.15256,1.15263,36446,True
2018-08-09 21:00:00+00:00,1.15278,1.15368,1.13882,1.14119,94064,True
2018-08-12 21:00:00+00:00,1.13715,1.14328,1.13652,1.14094,75061,True
2018-08-13 21:00:00+00:00,1.14112,1.14294,1.133,1.13436,54349,True
2018-08-14 21:00:00+00:00,1.1346,1.13554,1.1301,1.13462,57188,True
2018-08-15 21:00:00+00:00,1.13462,1.14091,1.13358,1.13762,61294,True
2018-08-16 21:00:00+00:00,1.13762,1.1445,1.13666,1.14376,50295,True
2018-08-19 21:00:00+00:00,1.14395,1.14853,1.13946,1.14825,38513,True
2018-08-20 21:00:00+00:00,1.14812,1.16015,1.1481,1.15707,58070,True
2018-08-21 21:00:00+00:00,1.15712,1.1623,1.15532,1.15964,49474,True
2018-08-22 21:00:00+00:00,1.15944,1.16002,1.15299,1.15416,49313,True
2018-08-23 21:00:00+00:00,1.15375,1.16402,1.15346,1.1622,52689,True
2018-08-26 21:00:00+00:00,1.16154,1.1694,1.15947,1.16783,41573,True
2018-08-27 21:00:00+00:00,1.1679,1.17337,1.16623,1.16948,46904,True
2018-08-28 21:00:00+00:00,1.1696,1.17098,1.16521,1.17074,52113,True
2018-08-29 21:00:00+00:00,1.1706,1.17185,1.16416,1.16682,51517,True
2018-08-30 21:00:00+00:00,1.16666,1.16912,1.15844,1.16019,64060,True
2018-09-02 21:00:00+00:00,1.15982,1.16279,1.15894,1.16204,34705,True
2018-09-03 21:00:00+00:00,1.16198,1.16214,1.15302,1.1583,46399,True
2018-09-04 21:00:00+00:00,1.15806,1.1641,1.15432,1.16308,55753,True
2018-09-05 21:00:00+00:00,1.16308,1.16594,1.16054,1.16234,51070,True
2018-09-06 21:00:00+00:00,1.16216,1.16496,1.15505,1.15521,62733,True
2018-09-09 21:00:00+00:00,1.15477,1.16164,1.1526,1.15938,36646,True
2018-09-10 21:00:00+00:00,1.15952,1.1644,1.15656,1.16044,41155,True
2018-09-11 21:00:00+00:00,1.16065,1.165,1.15702,1.1627,45271,True
2018-09-12 21:00:00+00:00,1.16267,1.17012,1.1609,1.16901,45321,True
2018-09-13 21:00:00+00:00,1.16901,1.17218,1.16207,1.1625,43526,True
2018-09-16 21:00:00+00:00,1.1626,1.1698,1.16178,1.16838,31421,True
2018-09-17 21:00:00+00:00,1.16851,1.17248,1.1652,1.16676,50868,True
2018-09-18 21:00:00+00:00,1.16654,1.17152,1.165,1.16718,44841,True
2018-09-19 21:00:00+00:00,1.16738,1.17846,1.16688,1.17776,54279,True
2018-09-20 21:00:00+00:00,1.17776,1.1803,1.17331,1.17482,48982,True
2018-09-23 21:00:00+00:00,1.17457,1.18151,1.1724,1.1747,40595,True
2018-09-24 21:00:00+00:00,1.1749,1.17926,1.17308,1.17666,41864,True
2018-09-25 21:00:00+00:00,1.1766,1.17976,1.17258,1.17409,57517,True
2018-09-26 21:00:00+00:00,1.17386,1.17572,1.1639,1.1641,61026,True
2018-09-27 21:00:00+00:00,1.1641,1.16514,1.15698,1.16027,50533,True
2018-09-30 21:00:00+00:00,1.16182,1.16253,1.15634,1.1578,41330,True
2018-10-01 21:00:00+00:00,1.15792,1.15808,1.15052,1.15493,46326,True
2018-10-02 21:00:00+00:00,1.15496,1.1594,1.1464,1.14786,63248,True
2018-10-03 21:00:00+00:00,1.14736,1.1543,1.14636,1.15141,54718,True
2018-10-04 21:00:00+00:00,1.1516,1.15502,1.14838,1.15221,58505,True
2018-10-07 21:00:00+00:00,1.15231,1.15298,1.146,1.14916,37216,True
2018-10-08 21:00:00+00:00,1.14879,1.15035,1.14322,1.1492,57076,True
2018-10-09 21:00:00+00:00,1.14904,1.15451,1.14798,1.1521,55116,True
2018-10-10 21:00:00+00:00,1.15219,1.15996,1.15201,1.15936,84171,True
2018-10-11 21:00:00+00:00,1.15873,1.16106,1.15344,1.15597,54772,True
2018-10-14 21:00:00+00:00,1.15404,1.16064,1.15397,1.15788,44618,True
2018-10-15 21:00:00+00:00,1.15795,1.16216,1.15658,1.15747,44825,True
2018-10-16 21:00:00+00:00,1.15734,1.15802,1.14962,1.15,53878,True
2018-10-17 21:00:00+00:00,1.15014,1.15272,1.14496,1.14526,59044,True
2018-10-18 21:00:00+00:00,1.14538,1.15348,1.14332,1.15142,62675,True
2018-10-21 21:00:00+00:00,1.15164,1.15503,1.14558,1.14647,47072,True
2018-10-22 21:00:00+00:00,1.14647,1.14898,1.14396,1.14721,55514,True
2018-10-23 21:00:00+00:00,1.14728,1.1477,1.13786,1.13914,64946,True
2018-10-24 21:00:00+00:00,1.13926,1.14328,1.13561,1.13748,60657,True
2018-10-25 21:00:00+00:00,1.13741,1.14208,1.13357,1.14033,62251,True
2018-10-28 21:00:00+00:00,1.13934,1.14165,1.13607,1.13732,53323,True
2018-10-29 21:00:00+00:00,1.13732,1.13878,1.13404,1.13452,47796,True
2018-10-30 21:00:00+00:00,1.13442,1.13604,1.1302,1.13117,56138,True
2018-10-31 21:00:00+00:00,1.13114,1.14244,1.13078,1.14088,58126,True
2018-11-01 21:00:00+00:00,1.14078,1.14562,1.1372,1.13875,66612,True
2018-11-04 22:00:00+00:00,1.13883,1.14242,1.13534,1.14066,45338,True
2018-11-05 22:00:00+00:00,1.14062,1.14381,1.13916,1.14268,43197,True
2018-11-06 22:00:00+00:00,1.1427,1.15004,1.13951,1.14254,84820,True
2018-11-07 22:00:00+00:00,1.14266,1.1447,1.13515,1.13631,60403,True
2018-11-08 22:00:00+00:00,1.13643,1.13694,1.1316,1.13371,58738,True
2018-11-11 22:00:00+00:00,1.13232,1.13314,1.12155,1.12173,56937,True
2018-11-12 22:00:00+00:00,1.12184,1.1294,1.12164,1.12907,66773,True
2018-11-13 22:00:00+00:00,1.12898,1.1348,1.12632,1.13094,88609,True
2018-11-14 22:00:00+00:00,1.13084,1.13627,1.12706,1.13288,88462,True
2018-11-15 22:00:00+00:00,1.13248,1.14207,1.13216,1.14184,63116,True
2018-11-18 22:00:00+00:00,1.14138,1.14649,1.1394,1.14526,42887,True
2018-11-19 22:00:00+00:00,1.14558,1.14722,1.13586,1.13705,53042,True
2018-11-20 22:00:00+00:00,1.13676,1.14251,1.13654,1.13852,49349,True
2018-11-21 22:00:00+00:00,1.13833,1.14338,1.1381,1.14013,41194,True
2018-11-22 22:00:00+00:00,1.14042,1.14212,1.13276,1.13359,43358,True
2018-11-25 22:00:00+00:00,1.13406,1.13834,1.1325,1.13276,44249,True
2018-11-26 22:00:00+00:00,1.13271,1.1344,1.12774,1.12933,54367,True
2018-11-27 22:00:00+00:00,1.12904,1.1388,1.12674,1.13667,62236,True
2018-11-28 22:00:00+00:00,1.13685,1.14018,1.13492,1.1393,51516,True
2018-11-29 22:00:00+00:00,1.13867,1.14006,1.13054,1.13159,46504,True
2018-12-02 22:00:00+00:00,1.1352,1.13796,1.13193,1.13544,48806,True
2018-12-03 22:00:00+00:00,1.13537,1.14187,1.13186,1.13433,60446,True
2018-12-04 22:00:00+00:00,1.13438,1.13614,1.1311,1.13444,37483,True
2018-12-05 22:00:00+00:00,1.13448,1.14125,1.13212,1.13768,74113,True
