Time,Open,High,Low,Close,Volume,Complete
2018-07-11 21:00:00+00:00,1.32068,1.32452,1.31802,1.32039,60749,True
2018-07-12 21:00:00+00:00,1.3208,1.32398,1.31025,1.32362,62745,True
2018-07-15 21:00:00+00:00,1.32331,1.32931,1.32168,1.32338,43603,True
2018-07-16 21:00:00+00:00,1.32337,1.32686,1.30686,1.31134,68586,True
2018-07-17 21:00:00+00:00,1.31204,1.31219,1.30096,1.30712,62504,True
2018-07-18 21:00:00+00:00,1.30716,1.3083,1.29572,1.30146,75285,True
2018-07-19 21:00:00+00:00,1.30166,1.31404,1.29952,1.3135,72317,True
2018-07-22 21:00:00+00:00,1.31278,1.31585,1.30814,1.30997,52212,True
2018-07-23 21:00:00+00:00,1.30988,1.316,1.30714,1.31459,56301,True
2018-07-24 21:00:00+00:00,1.31459,1.32014,1.31332,1.31882,56548,True
2018-07-25 21:00:00+00:00,1.31926,1.3213,1.3106,1.31094,56745,True
2018-07-26 21:00:00+00:00,1.3106,1.31315,1.30824,1.31067,43397,True
2018-07-29 21:00:00+00:00,1.31126,1.3152,1.30972,1.31344,97146,True
2018-07-30 21:00:00+00:00,1.31374,1.31731,1.30892,1.31233,47603,True
2018-07-31 21:00:00+00:00,1.31194,1.31448,1.30952,1.31272,51720,True
2018-08-01 21:00:00+00:00,1.31182,1.31294,1.30147,1.30184,60040,True
2018-08-02 21:00:00+00:00,1.30143,1.3043,1.29755,1.29995,56389,True
2018-08-05 21:00:00+00:00,1.30118,1.30146,1.29202,1.29446,32645,True
2018-08-06 21:00:00+00:00,1.29496,1.2974,1.29234,1.29374,32894,True
2018-08-07 21:00:00+00:00,1.294,1.29603,1.28536,1.28838,40546,True
2018-08-08 21:00:00+00:00,1.28804,1.29119,1.28182,1.28232,40192,True
2018-08-09 21:00:00+00:00,1.28287,1.28373,1.2723,1.27696,92270,True
2018-08-12 21:00:00+00:00,1.27484,1.27914,1.27301,1.27649,70464,True
2018-08-13 21:00:00+00:00,1.27713,1.28282,1.27042,1.27221,60729,True
2018-08-14 21:00:00+00:00,1.27232,1.27357,1.26618,1.26962,66644,True
2018-08-15 21:00:00+00:00,1.27002,1.27544,1.26853,1.27148,60598,True
2018-08-16 21:00:00+00:00,1.27183,1.2754,1.26957,1.27519,49670,True
2018-08-19 21:00:00+00:00,1.27489,1.27994,1.27296,1.27956,34604,True
2018-08-20 21:00:00+00:00,1.27949,1.29252,1.27936,1.29024,49153,True
2018-08-21 21:00:00+00:00,1.28963,1.29369,1.28684,1.29106,51187,True
2018-08-22 21:00:00+00:00,1.29068,1.29204,1.28048,1.2812,45868,True
2018-08-23 21:00:00+00:00,1.28165,1.28811,1.27995,1.28496,51267,True
2018-08-26 21:00:00+00:00,1.28447,1.29015,1.2829,1.28918,44573,True
2018-08-27 21:00:00+00:00,1.28944,1.29322,1.28622,1.28714,44299,True
2018-08-28 21:00:00+00:00,1.28722,1.30329,1.28459,1.30282,68221,True
2018-08-29 21:00:00+00:00,1.30242,1.30434,1.29851,1.30079,52707,True
2018-08-30 21:00:00+00:00,1.3007,1.30292,1.29442,1.29603,61403,True
2018-09-02 21:00:00+00:00,1.2913,1.2934,1.28546,1.28678,43881,True
2018-09-03 21:00:00+00:00,1.28733,1.28762,1.28101,1.28561,52033,True
2018-09-04 21:00:00+00:00,1.28587,1.29832,1.27861,1.2907,75002,True
2018-09-05 21:00:00+00:00,1.29018,1.29626,1.28966,1.29288,61337,True
2018-09-06 21:00:00+00:00,1.29258,1.30288,1.29082,1.29203,86820,True
2018-09-09 21:00:00+00:00,1.29225,1.30522,1.28971,1.30258,55975,True
2018-09-10 21:00:00+00:00,1.30238,1.3088,1.29626,1.30302,63670,True
2018-09-11 21:00:00+00:00,1.30278,1.3085,1.298,1.30459,63817,True
2018-09-12 21:00:00+00:00,1.30413,1.31252,1.30262,1.3106,59792,True
2018-09-13 21:00:00+00:00,1.31087,1.31452,1.30566,1.30674,54899,True
2018-09-16 21:00:00+00:00,1.30723,1.3165,1.3069,1.31599,47712,True
2018-09-17 21:00:00+00:00,1.31542,1.31736,1.31186,1.31471,59804,True
2018-09-18 21:00:00+00:00,1.3147,1.32152,1.30966,1.31422,69718,True
2018-09-19 21:00:00+00:00,1.31386,1.32988,1.31342,1.32704,83440,True
2018-09-20 21:00:00+00:00,1.32643,1.32769,1.3055,1.30764,75328,True
2018-09-23 21:00:00+00:00,1.30777,1.31675,1.30634,1.31165,49784,True
2018-09-24 21:00:00+00:00,1.31212,1.31944,1.30954,1.3181,52041,True
2018-09-25 21:00:00+00:00,1.31854,1.32184,1.31385,1.31685,66249,True
2018-09-26 21:00:00+00:00,1.31653,1.31797,1.30738,1.30795,60305,True
2018-09-27 21:00:00+00:00,1.30805,1.30906,1.30006,1.30325,47273,True
2018-09-30 21:00:00+00:00,1.30391,1.31184,1.30123,1.30416,45856,True
2018-10-01 21:00:00+00:00,1.3048,1.30486,1.29414,1.29797,51484,True
2018-10-02 21:00:00+00:00,1.29836,1.30231,1.29235,1.29382,70717,True
2018-10-03 21:00:00+00:00,1.2938,1.30416,1.29221,1.30202,61263,True
2018-10-04 21:00:00+00:00,1.30227,1.31232,1.30031,1.31175,72906,True
2018-10-07 21:00:00+00:00,1.31243,1.31332,1.30286,1.3095,55271,True
2018-10-08 21:00:00+00:00,1.30872,1.315,1.3033,1.3145,64941,True
2018-10-09 21:00:00+00:00,1.31416,1.32161,1.31341,1.31949,55842,True
2018-10-10 21:00:00+00:00,1.3196,1.32519,1.31822,1.32338,83168,True
2018-10-11 21:00:00+00:00,1.3229,1.32584,1.31458,1.31514,66158,True
2018-10-14 21:00:00+00:00,1.30847,1.3182,1.30843,1.31528,62260,True
2018-10-15 21:00:00+00:00,1.31559,1.3237,1.31406,1.31867,61975,True
2018-10-16 21:00:00+00:00,1.31822,1.31932,1.30996,1.31136,62279,True
2018-10-17 21:00:00+00:00,1.31138,1.31316,1.30162,1.30182,60509,True
2018-10-18 21:00:00+00:00,1.30182,1.31046,1.30118,1.30698,62826,True
2018-10-21 21:00:00+00:00,1.30767,1.30907,1.29569,1.29666,56720,True
2018-10-22 21:00:00+00:00,1.29673,1.3045,1.2937,1.29847,83503,True
2018-10-23 21:00:00+00:00,1.2987,1.2993,1.28674,1.28795,82767,True
2018-10-24 21:00:00+00:00,1.28832,1.29201,1.27964,1.28192,85598,True
2018-10-25 21:00:00+00:00,1.28157,1.2842,1.27769,1.2827,92269,True
2018-10-28 21:00:00+00:00,1.28265,1.28532,1.27914,1.2794,70644,True
2018-10-29 21:00:00+00:00,1.27979,1.28122,1.2696,1.27057,72557,True
2018-10-30 21:00:00+00:00,1.27027,1.28312,1.26976,1.27666,80632,True
2018-10-31 21:00:00+00:00,1.27668,1.3036,1.27606,1.30011,116568,True
2018-11-01 21:00:00+00:00,1.30069,1.3041,1.29521,1.29693,82203,True
2018-11-04 22:00:00+00:00,1.30224,1.30561,1.29644,1.30434,68584,True
2018-11-05 22:00:00+00:00,1.30376,1.31079,1.30214,1.3099,70334,True
2018-11-06 22:00:00+00:00,1.31056,1.31751,1.30731,1.31284,102376,True
2018-11-07 22:00:00+00:00,1.31248,1.315,1.30448,1.30622,85073,True
2018-11-08 22:00:00+00:00,1.30622,1.30737,1.29581,1.29724,83658,True
2018-11-11 22:00:00+00:00,1.29148,1.29464,1.28272,1.2851,102264,True
2018-11-12 22:00:00+00:00,1.28485,1.3048,1.28397,1.29754,125959,True
2018-11-13 22:00:00+00:00,1.29768,1.30729,1.28802,1.29878,203648,True
2018-11-14 22:00:00+00:00,1.2987,1.30303,1.27234,1.27734,216026,True
2018-11-15 22:00:00+00:00,1.27704,1.28782,1.27586,1.28312,119600,True
2018-11-18 22:00:00+00:00,1.2845,1.28848,1.27942,1.2854,78543,True
2018-11-19 22:00:00+00:00,1.28502,1.2884,1.27763,1.27886,82451,True
2018-11-20 22:00:00+00:00,1.27836,1.28194,1.27645,1.27766,71528,True
2018-11-21 22:00:00+00:00,1.27745,1.29282,1.27699,1.28762,111621,True
2018-11-22 22:00:00+00:00,1.28785,1.2883,1.27986,1.28162,79535,True
2018-11-25 22:00:00+00:00,1.28276,1.28644,1.27953,1.281,69771,True
2018-11-26 22:00:00+00:00,1.28121,1.28194,1.27255,1.27468,89932,True
2018-11-27 22:00:00+00:00,1.27403,1.28475,1.27328,1.28225,82924,True
2018-11-28 22:00:00+00:00,1.28262,1.285,1.27553,1.27905,82894,True
2018-11-29 22:00:00+00:00,1.27873,1.2809,1.2735,1.27486,89099,True
2018-12-02 22:00:00+00:00,1.27684,1.28249,1.2699,1.27256,78686,True
2018-12-03 22:00:00+00:00,1.27256,1.28404,1.26582,1.27158,111383,True
2018-12-04 22:00:00+00:00,1.27189,1.27982,1.26718,1.27349,86394,True
2018-12-05 22:00:00+00:00,1.2732,1.2813,1.26992,1.27856,106137,True
2018-12-06 22:00:00+00:00,1.27817,1.27955,1.27096,1.27258,100104,True
2018-12-09 22:00:00+00:00,1.27066,1.27612,1.25066,1.25602,138184,True
